data_reserva,responsavel,codigo,descricao,quantidade,unidade,cc,reserva,data_entrega,laudo,quantidade_recebida,pendencia,responsavel_recebimento
2026-01-06 00:00:00,Diana Maia,2229449,"MANGUEIRA MP 100R1AT  1/2"" X10000MM PINOXPCL NOVA",20,pç,50012127,33566336,,,20,0,
2026-01-06 00:00:00,Diana Maia,5117151,"REBOLO RETO A RT  76,2X 19X  9,5MM A60R6",100,pç,50012127,33566336,,,100,0,
2026-01-06 00:00:00,Diana Maia,2201714,"DISCO DESBASTE/ACAB 114,30/ 22,225 GR40 (LARANJADO) LIXADEIRA ELETRICA",80,pç,50013125,33566338,2026-01-08 00:00:00,Aprovado,80,0,Diana Maia
2026-01-06 00:00:00,Diana Maia,5031007,"DISCO DESBASTE/ACAB 177,80/ 22,2 GR40 (LARANJADO)",80,pç,50012127,33566336,,,80,0,
2026-01-06 00:00:00,Diana Maia,1022725,TRENA AÇO  5M C/TRAVA AC34-5ME9,20,pç,50015127,33566342,2026-01-15 00:00:00,Aprovado,20,0,Diana Maia
2026-01-06 00:00:00,Diana Maia,5115669,PINO GUIA REF 25030RBH PROCESSOS,200,pç,50013125,33566490,2026-02-09 00:00:00,Aprovado,200,0,Diana Maia
2026-01-06 00:00:00,Diana Maia,5115667,PINO GUIA REF 25060RBH PROCESSOS,100,pç,50013125,33566490,2026-02-09 00:00:00,Aprovado,100,0,Diana Maia
2026-01-07 00:00:00,Diana Maia,2259036,FITA ADESIVA MÁGICA  19MM ROLO 33 MTS,5,pç,50013125,33571937,2026-02-09 00:00:00,Aprovado,5,0,Diana 
2026-01-07 00:00:00,Diana Maia,5056446,FITA ISOLANTE ANTI CHAMA PVC 19MMX20M BRANCA,10,pç,50013125,33571937,2026-02-09 00:00:00,Aprovado,10,0,Diana 
2026-01-07 00:00:00,Diana Maia,5029440,CABO COAXIAL DUPLO PARA ULTRASOM MANUAL,2,un,50013125,33571937,2026-02-09 00:00:00,Aprovado,2,0,Diana 
2026-01-07 00:00:00,Diana Maia,2215370,PADRÃO CASTROL T1 TIPO G,2,cj,50013125,33571937,2026-02-09 00:00:00,Aprovado,2,0,Diana 
2026-01-08 00:00:00,Diana Maia,2171094,FILTRO DE LINHA,2,pç,50012127,33576444,2026-02-09 00:00:00,Aprovado,2,0,Diana Maia
2026-01-16 00:00:00,Diana Maia,5117151,"REBOLO RETO A RT  76,2X 19X  9,5MM A60R6",4,pç,50012127,33609993,,,4,0,
2026-01-16 00:00:00,Diana Maia,2193735,"REBOLO RETO 77,0×19,0MM",60,pç,50012127,33609993,,,60,0,
2026-01-16 00:00:00,Diana Maia,5117151,"REBOLO RETO A RT  76,2X 19X  9,5MM A60R6",4,pç,50012127,33609993,,,4,0,
2026-01-27 00:00:00,Diego O.,2245894,MEDIDOR DIÂMETRO (FITA PI) 20 - 300MM CIRCOMETER,3,pç,50015127,33691193,2026-02-09 00:00:00,Aprovado,3,0,Diana Maia
2026-01-27 00:00:00,Diana Maia,1478150,TINTA SPRAY PRETO,48,pç,50012127,33691090,2026-02-09 00:00:00,Parcial,48,0,Diana Maia
2026-01-27 00:00:00,Diana Maia,5011273,LIMPADOR PARA LIXADEIRAS,24,pç,50012127,33691090,2026-02-09 00:00:00,Parcial,24,0,Diana Maia
2026-01-27 00:00:00,Diana Maia,2180855,TINTA SPRAY AMARELO,48,pç,50012127,33691090,2026-02-09 00:00:00,Parcial,48,0,Diana Maia
2026-01-27 00:00:00,Diana Maia,1511467,PILHA ALCALINA AA,48,pç,50013125,33691192,2026-01-28 00:00:00,Aprovado,48,0,Diana Maia
2026-01-27 00:00:00,Diana Maia,1751913,PILHA ALCALINA AAA,48,pç,50013125,33691192,2026-01-28 00:00:00,Aprovado,48,0,Diana Maia
2026-01-27 00:00:00,Diana Maia,2196584,TINTA PARA REA-JET 040,40,lt,50012127,33691090,2026-02-09 00:00:00,Parcial,40,0,Diana Maia
2026-01-27 00:00:00,Diana Maia,2201857,TINTA SPRAY VERDE,24,pç,50012127,33691090,2026-02-09 00:00:00,Parcial,24,0,Diana Maia
